OR No.,Date,2nd Receipt No.,Debtor,Company Name,Description,Amount,Unapplied Amount
BR 2601-001,2026-01-01,,300-N103,EK : SMK Tunku Abdul Rahman Putra (STAR),PAYMENT FOR EK3_LEMB x25,375.0,0
BR 2601-002,2026-01-01,,300-J031,IPG : IPGK Perempuan Melayu,PAYMENT FOR PENGHAYATAN ETIKA x27,600.0,0
BR 2601-003,2026-01-02,,300-S220,SMK : SMK Seri Jementah,PAYMENT,294.0,0
BR 2601-004,2026-01-02,,300-A127,IPG : IPGK Tun Hussein Onn,PAYMENT FOR PENDIDIKAN ISLAM x39,780.0,0
BR 2601-005,2026-01-09,,300-H007,PAM : SMJK Seg Hwa,"PAYMENT FOR PA2_NOTA x7, PA2_MTP x7",322.0,0
BR 2601-006,2026-01-12,OR03409,300-S117,SMK : SMK Telok Kerang,PAYMENT,900.0,0
BR 2601-007,2026-01-12,OR03410,300-S117,SMK : SMK Telok Kerang,PAYMENT,1000.0,0
BR 2601-008,2026-01-12,OR03411,300-S024,SMK : SMK Tan Sri Osman Mohd Sa'at,PAYMENT,4639.5,0
BR 2601-009,2026-01-13,,300-P014,PAM : SMK Dato Sulaiman,"PAYMENT FOR PA2_NOTA x20, PA2_MTP x20, GRAF x20",1000.0,0
BR 2601-010,2026-01-13,,300-S097,PAM : SMK Tengku Mahmud Iskandar (STMI),PAYMENT FOR PA3_NOTA x10,260.0,0
BR 2601-011,2026-01-13,OR02761,300-S281,SMK : SMK Seri Kota,PAYMENT,890.0,0
BR 2601-012,2026-01-14,,300-W009,IPG : IPGK Temenggong Ibrahim,PAYMENT FOR KURIKULUM DAN PENTAKSIRAN x22,506.0,0
CR 2601-001,2026-01-14,OR02760,300-H053,BM : SMK Tinggi Muar,"PAYMENT FOR BM2_NOTA x10, BM2_MTP x10",240.0,0
BR 2601-013,2026-01-15,,300-K063,IPG : IPGK Tun Hussein Onn,PAYMENT FOR PENGANTAR BM KOMUNIKASI_x100,2200.0,0
CR 2601-002,2026-01-15,OR03412,300-A032,SJH : SMK Dato Sri Amar Diraja,PAYMENT FOR SJH1_MTP x28,280.0,0
BR 2601-014,2026-01-19,OR02763,300-A082,SJH : SMJK Pulau Sebang,PAYMENT FOR SJH2_MTP x10,160.0,0
BR 2601-015,2026-01-19,,300-Z022,PP : SMK Bandar Mas,"PAYMENT FOR PP2_MODUL x5, PP2_MTP x5",160.0,0
BR 2601-016,2026-01-20,,300-S173,PAM : SMK Tunku Abdul Rahman Putra (STAR),"PAYMENT FOR PA2_MTP x32, GRAF x32",512.0,0
BR 2601-017,2026-01-20,OR03413,300-N010,PAM : SMK Aminuddin Baki,"PAYMENT FOR PAM3_NOTA x15, PAM3_MTP x15",570.0,0
BR 2601-018,2026-01-20,,300-A131,STUDENT : IPGK Temenggong Ibrahim,PAYMENT FOR EFFECTIVE COMMUNICATION IN ENGLISH x24,528.0,0
BR 2601-019,2026-01-21,,300-K069,STUDENT : IPGK Temenggong Ibrahim,PAYMENT FOR EFFECTIVE COMMUNICATION IN ENGLISH x25,550.0,0
BR 2601-020,2026-01-21,OR03090,300-Z003,GKT : SMK Taman Mutiara Rini 2,"PAYMENT FOR GKT4 x15, GKT5 x20, SPM x20",1610.0,0
BR 2601-021,2026-01-21,,300-N075,PAM : SMK Gelang Patah,"PAYMENT FOR PA2_NOTA x18, PA2_MTP x18, GRAF x18",900.0,0
BR 2601-022,2026-01-22,,300-A105,PAM : SMK Datin Onn Jaafar,PAYMENT FOR GRAF x20,80.0,0
BR 2601-023,2026-01-22,OR03415,300-N141,AKAUN : SMK Tinggi Melaka,PAYMENT FOR AKAUN2_RUJ x20,500.0,0
BR 2601-024,2026-01-22,,300-F038,IPG : IPGK Tun Hussein Onn,PAYMENT FOR PROFESSIONALISME x74,1850.0,0
BR 2601-025,2026-01-22,OR03091,300-S097,PAM : SMK Tengku Mahmud Iskandar (STMI),PAYMENT FROM CG NADIA FOR PA3_NOTA x8,208.0,0
BR 2601-026,2026-01-22,,300-S289,STUDENT : IPGK Temenggong Ibrahim,PAYMENT FOR EFFECTIVE COMMUNICATION IN ENGLISH x25,550.0,0
BR 2601-027,2026-01-22,OR03092,300-S097,PAM : SMK Tengku Mahmud Iskandar (STMI),PAYMENT FROM CG MASNORZAIN FOR PA3_NOTA x7,182.0,0
BR 2601-028,2026-01-23,,300-J018,BM : SMK Pasir Gudang 2,"PAYMENT FOR BM2_NOTA x10, BM2_MTP x10",250.0,0
BR 2601-029,2026-01-23,OR03416,300-M076,EK : SMK Tun Ismail,PAYMENT FOR EK2_LEMB x9,180.0,0
CR 2601-003,2026-01-23,OR02762,300-K011,KMK : Kolej Tingkatan Enam Pontian,PAYMENT FOR KMK2_MTP x16,192.0,0
BR 2601-030,2026-01-23,,300-F040,IPG : IPGK Perempuan Melayu,PAYMENT FOR PENGAJIAN AKHLAK ISLAMIAH x12,480.0,0
BR 2601-031,2026-01-23,,300-F040,IPG : IPGK Perempuan Melayu,PAYMENT FOR PENGAJIAN AKHLAK ISLAMIAH x8,320.0,0
BR 2601-032,2026-01-23,,300-F005,PAM : SMK Gelang Patah,"PAYMENT FOR PA2_NOTA x19, PA2_MTP x19, GRAF x38",1026.0,0
BR 2601-033,2026-01-23,,300-S284,SMK : SMK Anjung Batu,PAYMENT,610.0,0
BR 2601-034,2026-01-23,,300-S055,SMK : Kolej Tingkatan Enam Pontian,PAYMENT,120.0,0
BR 2601-035,2026-01-24,,300-N139,STUDENT : IPGK Temenggong Ibrahim,PAYMENT FOR EFFECTIVE COMMUNICATION IN ENGLISH x25,550.0,0
BR 2601-036,2026-01-26,,300-N113,PAM : SMKA Sharifah Rodziah,"PAYMENT FOR PA2_NOTA x23, PA2_MTP x23, GRAF x23",1150.0,0
BR 2601-037,2026-01-26,OR03417,300-N142,STUDENT : IPGK Temenggong Ibrahim,PAYMENT FOR EFFECTIVE COMMUNICATION IN ENGLISH x20,440.0,0
BR 2601-038,2026-01-26,,300-A030,GKT : SMK Kota Masai 2,"PAYMENT FOR GKT4 x20, GKT5 x17",1190.0,0
BR 2601-039,2026-01-26,,300-F005,PAM : SMK Gelang Patah,"PAYMENT FOR PA2_NOTA x2, PA2_MTP x2, GRAF x4",108.0,0
BR 2601-040,2026-01-26,,300-R065,IPG : IPGK Tun Hussein Onn,PAYMENT FOR SOSIOLOGI DALAM PEMDIDIKAN x112,2800.0,0
BR 2601-041,2026-01-26,,300-S261,SJH : SMK Dato Penggawa Timur,PAYMENT FOR SJH2_MTP x90,1440.0,0
BR 2601-042,2026-01-26,,300-P017,PAM : SMK Dato Bentara Dalam,"PAYMENT FOR PA2_NOTA x10, GRAF x10",380.0,0
BR 2601-043,2026-01-26,,300-N143,STUDENT : IPGK Temenggong Ibrahim,PAYMENT FOR EFFECTIVE COMMUNICATION IN ENGLISH x26,572.0,0
CR 2601-004,2026-01-26,OR03418,300-Z003,GKT : SMK Taman Mutiara Rini 2,PAYMENT FOR GKT4 x2,68.0,0
CR 2601-005,2026-01-26,OR03419,300-Z052,GKT : SMK Taman Universiti,PAYMENT FOR GKT4 x4,136.0,0
BR 2601-044,2026-01-26,,300-L008,GKT : SMK Tun Fatimah Hashim,"PAYMENT FOR GKT4 x23, GKT5 x26, SPM x26",2212.0,0
BR 2601-045,2026-01-26,,300-W009,IPG : IPGK Temenggong Ibrahim,PAYMENT FOR BUKU PENGAJIAN KURIKULUM x14,350.0,0
BR 2601-071,2026-01-26,,300-K008,KOP : Koperasi SMK Gemereh,PAYMENT,890.0,0
BR 2601-046,2026-01-27,OR03421,300-A045,BM : SMK Munshi Ibrahim,"PAYMENT FOR BM2_NOTA x14, BM2_MTP x14",336.0,0
BR 2601-047,2026-01-27,,300-N063,GKT : SMK Kangkar Pulai,PAYMENT FOR GKT4 x16,544.0,0
BR 2601-048,2026-01-27,,300-A098,IPG : IPGK Temenggong Ibrahim,PAYMENT FOR PENGANTAR PENGAJIAN PENDIDIKAN x1,25.0,0
BR 2601-049,2026-01-27,,300-N035,GEO : SMK Dato Bentara Dalam,"PAYMENT FOR GEO2_LEMB x11, GRAF x15",302.0,0
BR 2601-050,2026-01-27,OR03093,300-C001,RETAIL,PAYMENT,64.0,0
BR 2601-051,2026-01-27,,300-Z047,BM : SMK Gelang Patah,PAYMENT FOR BM2_MTP x39,468.0,0
CR 2601-006,2026-01-27,OR03420,300-T005,SJH : SMK Labis,PAYMENT FOR SJH2_MTP x7,112.0,0
BR 2601-052,2026-01-27,,300-S227,GKT : SMK Pasir Putih,"PAYMENT FOR GKT5 x40, SPM x40",2200.0,0
BR 2601-053,2026-01-28,,300-S294,PSV : SMK Ledang,"PAYMENT FOR SV2_RUJ x10, SV2_LEMB x10",480.0,0
BR 2601-054,2026-01-28,,300-Z019,KMK : SMK Iskandar Shah,"PAYMENT FOR KMK2_RUJ x10, KMK2_MTP x10",590.0,0
