File_Source,Book_Title,Region,Unit_Price,Return_%,Total_In,Total_Return,Net_Purchase
GKT LK 2026,GKT T4'26,TOTAL,34.0,0.15396458814472824,1299.0,2.0,1297.0
GKT LK 2026,GKT T4'26,Johor,34.0,0.0,1084.0,0.0,1084.0
GKT LK 2026,GKT T4'26,Melaka,34.0,0.9302325581395321,215.0,2.0,213.0
GKT LK 2026,GKT T5'25,TOTAL,30.0,2.7619047619047654,1050.0,29.0,1021.0
GKT LK 2026,GKT T5'25,Johor,30.0,3.0337078651685445,890.0,27.0,863.0
GKT LK 2026,GKT T5'25,Melaka,30.0,1.2499999999999956,160.0,2.0,158.0
GKT LK 2026,MTP GKT SPM'25,TOTAL,25.0,2.9451137884872858,747.0,22.0,725.0
GKT LK 2026,MTP GKT SPM'25,Johor,25.0,3.2496307237813937,677.0,22.0,655.0
GKT LK 2026,MTP GKT SPM'25,Melaka,25.0,0.0,70.0,0.0,70.0
GKT LK 2026,LK T4'26,TOTAL,34.0,3.3333333333333326,420.0,14.0,406.0
GKT LK 2026,LK T4'26,Johor,34.0,0.0,180.0,0.0,180.0
GKT LK 2026,LK T4'26,Melaka,34.0,5.833333333333335,240.0,14.0,226.0
GKT LK 2026,LK T5'25,TOTAL,29.0,13.571428571428568,420.0,57.0,363.0
GKT LK 2026,LK T5'25,Johor,29.0,0.5555555555555536,180.0,1.0,179.0
GKT LK 2026,LK T5'25,Melaka,29.0,23.33333333333333,240.0,56.0,184.0
GKT LK 2026,MTP LK SPM'25,TOTAL,24.0,10.999999999999998,400.0,44.0,356.0
GKT LK 2026,MTP LK SPM'25,Johor,24.0,4.705882352941182,170.0,8.0,162.0
GKT LK 2026,MTP LK SPM'25,Melaka,24.0,15.652173913043477,230.0,36.0,194.0
STPM P1 2027,PA1 NOTA 2026,TOTAL,35.0,0.7804878048780495,4100.0,32.0,4068.0
STPM P1 2027,PA1 NOTA 2026,Johor,35.0,1.0322580645161339,3100.0,32.0,3068.0
STPM P1 2027,PA1 NOTA 2026,Melaka,35.0,0.0,1000.0,0.0,1000.0
STPM P1 2027,PA1 MTP 2026,TOTAL,12.0,0.0,2991.0,0.0,2991.0
STPM P1 2027,PA1 MTP 2026,Johor,12.0,0.0,1958.0,0.0,1958.0
STPM P1 2027,PA1 MTP 2026,Melaka,12.0,0.0,1033.0,0.0,1033.0
